number,picname,Class,confidence
349,c00349.jpg,Made_Shot,1.0
350,c00350.jpg,Made_Shot,1.0
351,c00351.jpg,Made_Shot,1.0
352,c00352.jpg,Made_Shot,1.0
353,c00353.jpg,Made_Shot,1.0
354,c00354.jpg,Made_Shot,1.0
355,c00355.jpg,Made_Shot,1.0
356,c00356.jpg,Made_Shot,1.0
357,c00357.jpg,Made_Shot,1.0
358,c00358.jpg,Made_Shot,1.0
359,c00359.jpg,Made_Shot,1.0
360,c00360.jpg,Made_Shot,1.0
361,c00361.jpg,Made_Shot,1.0
362,c00362.jpg,Made_Shot,1.0
363,c00363.jpg,Made_Shot,1.0
364,c00364.jpg,Made_Shot,1.0
365,c00365.jpg,Made_Shot,1.0
366,c00366.jpg,Made_Shot,1.0
367,c00367.jpg,Made_Shot,0.99
468,c00468.jpg,Made_Shot,1.0
469,c00469.jpg,Made_Shot,1.0
470,c00470.jpg,Made_Shot,1.0
488,c00488.jpg,Made_Shot,0.93
585,c00585.jpg,Made_Shot,1.0
586,c00586.jpg,Made_Shot,1.0
587,c00587.jpg,Made_Shot,1.0
588,c00588.jpg,Made_Shot,1.0
589,c00589.jpg,Made_Shot,1.0
838,c00838.jpg,Made_Shot,0.98
839,c00839.jpg,Made_Shot,1.0
840,c00840.jpg,Made_Shot,1.0
841,c00841.jpg,Made_Shot,1.0
842,c00842.jpg,Made_Shot,1.0
843,c00843.jpg,Made_Shot,1.0
844,c00844.jpg,Made_Shot,1.0
1708,c01708.jpg,Made_Shot,1.0
1709,c01709.jpg,Made_Shot,1.0
1710,c01710.jpg,Made_Shot,1.0
1711,c01711.jpg,Made_Shot,1.0
1712,c01712.jpg,Made_Shot,1.0
1713,c01713.jpg,Made_Shot,1.0
1714,c01714.jpg,Made_Shot,1.0
1715,c01715.jpg,Made_Shot,1.0
1716,c01716.jpg,Made_Shot,1.0
1717,c01717.jpg,Made_Shot,1.0
1718,c01718.jpg,Made_Shot,1.0
1719,c01719.jpg,Made_Shot,1.0
1720,c01720.jpg,Made_Shot,1.0
1721,c01721.jpg,Made_Shot,1.0
1722,c01722.jpg,Made_Shot,1.0
1723,c01723.jpg,Made_Shot,1.0
1724,c01724.jpg,Made_Shot,1.0
1725,c01725.jpg,Made_Shot,1.0
1726,c01726.jpg,Made_Shot,1.0
1727,c01727.jpg,Made_Shot,0.99
1728,c01728.jpg,Made_Shot,1.0
1729,c01729.jpg,Made_Shot,0.97
1788,c01788.jpg,Made_Shot,1.0
1789,c01789.jpg,Made_Shot,1.0
1790,c01790.jpg,Made_Shot,1.0
1791,c01791.jpg,Made_Shot,1.0
1792,c01792.jpg,Made_Shot,1.0
1793,c01793.jpg,Made_Shot,1.0
1794,c01794.jpg,Made_Shot,1.0
1795,c01795.jpg,Made_Shot,1.0
1796,c01796.jpg,Made_Shot,1.0
1797,c01797.jpg,Made_Shot,1.0
1798,c01798.jpg,Made_Shot,1.0
1799,c01799.jpg,Made_Shot,1.0
1800,c01800.jpg,Made_Shot,1.0
1801,c01801.jpg,Made_Shot,1.0
1802,c01802.jpg,Made_Shot,1.0
1803,c01803.jpg,Made_Shot,1.0
1804,c01804.jpg,Made_Shot,1.0
1805,c01805.jpg,Made_Shot,1.0
1806,c01806.jpg,Made_Shot,0.99
2092,c02092.jpg,Made_Shot,1.0
2093,c02093.jpg,Made_Shot,1.0
2094,c02094.jpg,Made_Shot,1.0
2095,c02095.jpg,Made_Shot,1.0
2096,c02096.jpg,Made_Shot,1.0
2097,c02097.jpg,Made_Shot,1.0
2098,c02098.jpg,Made_Shot,1.0
2099,c02099.jpg,Made_Shot,1.0
2100,c02100.jpg,Made_Shot,1.0
2101,c02101.jpg,Made_Shot,1.0
2102,c02102.jpg,Made_Shot,1.0
2103,c02103.jpg,Made_Shot,1.0
2104,c02104.jpg,Made_Shot,1.0
2105,c02105.jpg,Made_Shot,1.0
2106,c02106.jpg,Made_Shot,1.0
2107,c02107.jpg,Made_Shot,1.0
2108,c02108.jpg,Made_Shot,1.0
2109,c02109.jpg,Made_Shot,1.0
2110,c02110.jpg,Made_Shot,1.0
2247,c02247.jpg,Made_Shot,0.95
2248,c02248.jpg,Made_Shot,0.82
2560,c02560.jpg,Made_Shot,1.0
2561,c02561.jpg,Made_Shot,1.0
2562,c02562.jpg,Made_Shot,1.0
2563,c02563.jpg,Made_Shot,1.0
2564,c02564.jpg,Made_Shot,1.0
2565,c02565.jpg,Made_Shot,1.0
2566,c02566.jpg,Made_Shot,1.0
2567,c02567.jpg,Made_Shot,1.0
2568,c02568.jpg,Made_Shot,1.0
2785,c02785.jpg,Made_Shot,1.0
2786,c02786.jpg,Made_Shot,1.0
2787,c02787.jpg,Made_Shot,1.0
2826,c02826.jpg,Made_Shot,0.94
2839,c02839.jpg,Made_Shot,0.97
2840,c02840.jpg,Made_Shot,0.97
2925,c02925.jpg,Made_Shot,1.0
2926,c02926.jpg,Made_Shot,1.0
2927,c02927.jpg,Made_Shot,1.0
2928,c02928.jpg,Made_Shot,1.0
2929,c02929.jpg,Made_Shot,1.0
2930,c02930.jpg,Made_Shot,1.0
2931,c02931.jpg,Made_Shot,1.0
2932,c02932.jpg,Made_Shot,1.0
2933,c02933.jpg,Made_Shot,1.0
2934,c02934.jpg,Made_Shot,1.0
2935,c02935.jpg,Made_Shot,1.0
2936,c02936.jpg,Made_Shot,1.0
2937,c02937.jpg,Made_Shot,1.0
2938,c02938.jpg,Made_Shot,1.0
2939,c02939.jpg,Made_Shot,1.0
